@@,item,name,party,partylabel,area,arealabel,startdate,enddate,gender
->,Q111341374,Wainachi Hengtoh,Q1470113->Q953447,SDF->CPDM,,NULL->NORTH-WEST,2013-10-29,2019-12-29,
->,Q111342584,Wallang Richard Ebua,Q1470113->Q953447,SDF->CPDM,,NULL->NORTH-WEST,2013-10-29,2019-12-29,
->,Q30546273,Wantou Siantou Lucien,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,male
->,Q29913404,Wirba Joseph Mbiydzenyuy,Q1470113,SDF,,NULL->NORTH-WEST,2013-10-29,2019-12-29,male
->,Q111342585,Yaouba Abdel Aziz,Q953447,RDPC->CPDM,,NULL->ADAMAWA,2013-10-29,2019-12-29,NULL->male
->,Q111341379,Yaya Doumbia Marius,Q953447,RDPC->CPDM,,NULL->ADAMAWA,2013-10-29,2019-12-29,NULL->male
->,Q111342586,Youwo Bernard,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,NULL->male
->,Q111342343,Yves Martin Ahanda Assiga,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
->,Q111342587,Za'Aba Janvier,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
->,Q111341382,Zam Jean Jacques Noel,Q953447,RDPC->CPDM,,NULL->SOUTH,2013-10-29,2019-12-29,NULL->male
->,Q111342494,Zitha Tsila Biloa,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,NULL->male
->,Q111341383,Zondol Herssesse,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,NULL->male
->,Q111342588,Zoubainatou Salihou,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,NULL->female
