item,name,region,regionLabel,startDate,endDate,psid
Q111416760,Baroua Nyakeu,Q351514,Adamaoua,2018-03-25,,Q111416760-FAE9D651-7D53-412E-881F-0D4928842474
Q111416770,Bile Jean David,Q845172,Littoral,2018-03-25,,Q111416770-C89CCB6B-0462-4D68-AC2F-4ADB2A251D0E
Q111416771,Bladi Abba,Q823976,Extrême-Nord,2018-03-25,,Q111416771-2CA4708C-9A1D-4294-A824-151860DCAB95
Q111416773,Boubakari Ousmanou,Q502341,Province du Nord,2018-03-25,,Q111416773-B291A76F-E43B-44ED-AFD9-558B22CFED56
Q111416774,Buh Sule Tegha,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416774-AC0C8A3D-C67E-4CDE-8469-5F3F703661E4
Q111416775,Chafah Isaac,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416775-716E8594-967F-429A-A3A3-ECDB34D210D5
Q111416776,Diwala Mony Hilarion,Q845168,Est,2018-03-25,,Q111416776-FC7AB865-D94F-451B-892B-7C92B8F49897
Q111416778,Djallo Epouse Kalkaba Souadatou,Q351514,Adamaoua,2018-03-25,,Q111416778-46A5FF17-FB10-4DD7-A4EB-5927464A6D26
Q111416779,Djaratou Mohamadou,Q351514,Adamaoua,2018-03-25,,Q111416779-ED141208-F3B8-450E-97B5-ADA265AE3A74
Q111416780,Djomo Kamga Honoré,Q165784,Ouest,2018-03-25,,Q111416780-46D95E59-2037-4D64-AE75-9453217CFE92
Q111416782,Doh Ganyonga Iii,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416782-7BCB2163-5547-4F1C-81D5-EDD093FD5B6F
Q111416783,Doudou Epouse Adamou Djoubaïrou,Q502341,Province du Nord,2018-03-25,,Q111416783-E9C9A711-9F23-4159-979E-816365611844
Q111416784,Dsamou Micheline,Q165784,Ouest,2018-03-25,,Q111416784-94FBD24F-F730-4BF4-B007-8659CA66DF86
Q111416787,Fomethe Anaclet,Q165784,Ouest,2018-03-25,,Q111416787-E5AAC7C3-1DD7-4322-B5FB-A4B6BA6E82CC
Q111416788,Foutchou Epse Djakaou,Q823976,Extrême-Nord,2018-03-25,,Q111416788-9A617B57-F875-4792-A1E0-15F636F49616
Q111416789,Gamsey Kemende Henry,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416789-477CF643-0762-4839-902D-37748C9A2B2F
Q111416791,Hama Djabou,Q502341,Province du Nord,2018-03-25,,Q111416791-035B475B-0F23-4A70-AE52-A59411416392
Q111416792,Hamadou Paul,Q351514,Adamaoua,2018-03-25,,Q111416792-A4CA9668-9EDF-4AAF-8F97-3DBB89221D2F
Q111416793,Kemayou Claude,Q845172,Littoral,2018-03-25,,Q111416793-01C4101E-4BCA-40F7-86B1-A5973CEF2A96
Q111416794,Kinyang Nyang Georges,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416794-9E6DBD96-89FB-4393-8C38-A5CC332B8266
Q111416796,Koungou Edima Eliane Didier,Q739951,Centre,2018-03-25,,Q111416796-27D60BC0-3B95-4B7E-B118-0359C36C998F
Q111416798,Kumbongsi Dyx Meten Alim,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416798-310253D2-84EF-4BC4-9C25-112252CCA660
Q111416800,Leke Besongoh Akemfor Philip,Q607499,Région du Sud-Ouest,2018-03-25,,Q111416800-47F0D2C1-2A1F-4739-86B5-5F4FB3FCBF41
